Titanic passager,Status,Home Country,Age,Crew or Passenger?,Gender,Class / Department,Ticket Number,Fare Price
"GAVEY, Mr Laurence",Victim,Channel Islands,26.0,Passenger,Male,2nd Class,31028,£10 10s
"GILBERT, Mr William",Victim,England,47.0,Passenger,Male,2nd Class,30769,£10 10s
"HARRIS, Mr Walter",Victim,England,30.0,Passenger,Male,2nd Class,14208,£10 10s
"MACK, Mrs Mary",Victim,England,57.0,Passenger,Female,2nd Class,S.O./C. 3,£10 10s
"MUDD, Mr Thomas Cupper",Victim,England,16.0,Passenger,Male,2nd Class,S.O./P.P 3,£10 10s
"ROGERS, Mr Reginald Harry",Victim,England,18.0,Passenger,Male,2nd Class,28004,£10 10s
"SLEMEN, Mr Richard James",Victim,England,35.0,Passenger,Male,2nd Class,28206,£10 10s
"WARE, Mr William Jeffery",Victim,England,23.0,Passenger,Male,2nd Class,28666,£10 10s
"DAHLBERG, Miss Gerda Ulrika",Victim,Sweden,22.0,Passenger,Female,3rd Class,7552,£10 10s 4d
"LAMB, Mr John Joseph",Victim,Ireland,30.0,Passenger,Male,2nd Class,240261,£10 14s 2d
"DAKIC, Mr Branko",Victim,,19.0,Passenger,Male,3rd Class,349228,£10 3s 5d
"STRöM, Miss Telma Matilda",Victim,United States,2.0,Passenger,Female,3rd Class,347054,£10 9s 3d
"STRöM, Mrs Elna Matilda",Victim,,29.0,Passenger,Female,3rd Class,347054,£10 9s 3d
"HOYT, Mr Frederick Maxfield",Survivor,United States,38.0,Passenger,Male,1st Class,19943,£100
"HOYT, Mrs Jane Anne",Survivor,United States,31.0,Passenger,Female,1st Class,19943,£100
"LEROY, Miss Berthe",Survivor,,27.0,Passenger,Female,1st Class,17761,£106 8s 6d
"DOUGLAS, Mrs Mahala",Survivor,United States,48.0,Passenger,Female,1st Class,17761,£106 8s 6d
"DOUGLAS, Mr Walter Donald",Victim,United States,50.0,Passenger,Male,1st Class,17761,£106 8s 6d
"PEñASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo",Survivor,Spain,22.0,Passenger,Female,1st Class,17758,£108 18s
"PEñASCO Y CASTELLANA, Mr Victor",Victim,Spain,24.0,Passenger,Male,1st Class,17758,£108 18s
"OLIVA Y OCANA, Doña Fermina",Survivor,Spain,39.0,Passenger,Female,1st Class,17758,£108 18s
"HOCKING, Mr Richard George",Victim,England,23.0,Passenger,Male,2nd Class,29104,£11 10s
"BAILEY, Mr Percy",Victim,England,15.0,Passenger,Male,2nd Class,29108,£11 10s
"COTTERILL, Mr Henry ""Harry""",Victim,England,20.0,Passenger,Male,2nd Class,29107,£11 10s
"GILES, Mr Edgar",Victim,England,21.0,Passenger,Male,2nd Class,28133,£11 10s
"GILES, Mr Frederick Edward",Victim,England,20.0,Passenger,Male,2nd Class,28134,£11 10s
"ANDREW, Mr Edgar Samuel",Victim,Argentina,17.0,Passenger,Male,2nd Class,231945,£11 10s
"JOHNSON, Master Harold Theodor",Survivor,,4.0,Passenger,Male,3rd Class,347742,£11 2s 8d
"JOHNSON, Miss Eleanor Ileen",Survivor,,1.0,Passenger,Female,3rd Class,347742,£11 2s 8d
"JOHNSON, Mrs Elisabeth Vilhelmina",Survivor,,26.0,Passenger,Female,3rd Class,347742,£11 2s 8d
"NICOLA-YARRED, Master Elias (""Louis Garrett"")",Survivor,Lebanon,11.0,Passenger,Male,3rd Class,2651,£11 4s 10d
"NICOLA-YARRED, Miss Jamila (""Amelia Garrett"")",Survivor,Lebanon,14.0,Passenger,Female,3rd Class,2651,£11 4s 10d
"THAYER, Mr John Borland",Victim,United States,49.0,Passenger,Male,1st Class,17421,£110 17s 8d
"FLEMING, Miss Margaret",Survivor,,42.0,Passenger,Female,1st Class,17421,£110 17s 8d
"THAYER, Mr John Borland jr",Survivor,United States,17.0,Passenger,Male,1st Class,17421,£110 17s 8d
"THAYER, Mrs Marian Longstreth",Survivor,United States,39.0,Passenger,Female,1st Class,17421,£110 17s 8d
"NEWELL, Miss Madeleine",Survivor,United States,31.0,Passenger,Female,1st Class,35273,£113 5s 6d
"NEWELL, Miss Marjorie Anne",Survivor,United States,23.0,Passenger,Female,1st Class,35273,£113 5s 6d
"NEWELL, Mr Arthur Webster",Victim,United States,58.0,Passenger,Male,1st Class,35273,£113 5s 6d
"LEHMANN, Miss Bertha",Survivor,Switzerland,17.0,Passenger,Female,2nd Class,1748,£12
"BATEMAN, Fr Robert James",Victim,United States,51.0,Passenger,Male,2nd Class,1166,£12 10s 6d
"TROUT, Mrs Jessie L.",Survivor,United States,26.0,Passenger,Female,2nd Class,240929,£12 13s
"PORTALUPPI, Mr Emilio Ilario Giuseppe",Survivor,United States,30.0,Passenger,Male,2nd Class,34644,£12 14s 9d
"LéVY, Mr René Jacques",Victim,Canada,36.0,Passenger,Male,2nd Class,2163,£12 17s 6d
"WHEELER, Mr Edwin Charles",Victim,England,24.0,Passenger,Male,2nd Class,2159,£12 17s 6d
"KLASéN, Mrs Hulda Kristina Eugenia",Victim,Sweden,36.0,Passenger,Female,3rd Class,350405,£12 3s 8d
"KLASéN, Miss Gertrud Emilia",Victim,Sweden,1.0,Passenger,Female,3rd Class,350405,£12 3s 8d
"HUNT, Mr George Henry",Victim,England,33.0,Passenger,Male,2nd Class,1585,£12 5s 6d
"HIRVONEN, Miss Hildur Elisabeth",Survivor,Finland,2.0,Passenger,Female,3rd Class,3101298,£12 5s 9d
"HIRVONEN, Mrs Helga Elisabeth Lindqvist",Survivor,Finland,22.0,Passenger,Female,3rd Class,3101298,£12 5s 9d
"LINNANE, Mr John",Victim,United States,61.0,Passenger,Male,2nd Class,235509,£12 7s
"KIRKLAND, Fr Charles Leonard",Victim,United States,52.0,Passenger,Male,2nd Class,219533,£12 7s
"KEANE, Miss Nora Agnes",Survivor,United States,46.0,Passenger,Female,2nd Class,226593,£12 7s
"SLAYTER, Miss Hilda Mary",Survivor,Canada,30.0,Passenger,Female,2nd Class,234818,£12 7s
"KEANE, Mr Daniel",Victim,Ireland,35.0,Passenger,Male,2nd Class,233734,£12 7s
"DOWDELL, Miss Elizabeth",Survivor,United States,31.0,Passenger,Female,3rd Class,364516,£12 9s 6d
"MOOR, Mrs Beila",Survivor,,29.0,Passenger,Female,3rd Class,392096,£12 9s 6d
"EMANUEL, Miss Virginia Ethel",Survivor,United States,5.0,Passenger,Female,3rd Class,364516,£12 9s 6d
"MOOR, Master Meier",Survivor,,7.0,Passenger,Male,3rd Class,392096,£12 9s 6d
"CARTER, Master William Thornton II",Survivor,United States,11.0,Passenger,Male,1st Class,113760,£120
"CARTER, Miss Lucile Polk",Survivor,United States,13.0,Passenger,Female,1st Class,113760,£120
"CARTER, Mr William Ernest",Survivor,United States,36.0,Passenger,Male,1st Class,113760,£120
"CARTER, Mrs Lucile",Survivor,United States,36.0,Passenger,Female,1st Class,113760,£120
"MEYER, Mr August",Victim,England,31.0,Passenger,Male,2nd Class,248723,£13
"ALDWORTH, Mr Charles Augustus",Victim,United States,30.0,Passenger,Male,2nd Class,248744,£13
"GILL, Mr John William",Victim,England,24.0,Passenger,Male,2nd Class,233866,£13
"SWANE, Mr George",Victim,England,19.0,Passenger,Male,2nd Class,248734,£13
"MATTHEWS, Mr William John",Victim,England,30.0,Passenger,Male,2nd Class,28228,£13
"HARBECK, Mr William H.",Victim,United States,44.0,Passenger,Male,2nd Class,248746,£13
"HOSONO, Mr Masabumi",Survivor,Japan,41.0,Passenger,Male,2nd Class,237798,£13
"GILLESPIE, Mr William Henry",Victim,Ireland,31.0,Passenger,Male,2nd Class,12233,£13
"BROWN, Miss Amelia Mary",Survivor,England,18.0,Passenger,Female,2nd Class,248733,£13
"NESSON, Mr Israel",Victim,England,26.0,Passenger,Male,2nd Class,244368,£13
"HALE, Mr Reginald",Victim,United States,30.0,Passenger,Male,2nd Class,250653,£13
"MILLING, Mr Jacob Christian",Victim,Denmark,48.0,Passenger,Male,2nd Class,234360,£13
"BUTLER, Mr Reginald Fenton",Victim,England,25.0,Passenger,Male,2nd Class,234686,£13
"BOWENUR, Mr Solomon",Victim,,42.0,Passenger,Male,2nd Class,211535,£13
"CARBINES, Mr William",Victim,England,19.0,Passenger,Male,2nd Class,28424,£13
"FUNK, Miss Annie Clemmer",Victim,India,38.0,Passenger,Female,2nd Class,237671,£13
"HODGES, Mr Henry Price",Victim,England,50.0,Passenger,Male,2nd Class,250643,£13
"CORBETT, Mrs Irene",Victim,United States,30.0,Passenger,Female,2nd Class,237249,£13
"MCCRIE, Mr James Matthew",Victim,Canada,32.0,Passenger,Male,2nd Class,233478,£13
"HOCKING, Mr Samuel James Metcalfe",Victim,England,36.0,Passenger,Male,2nd Class,242963,£13
"BYLES, Fr Thomas Roussel Davids",Victim,England,42.0,Passenger,Male,2nd Class,244310,£13
"MONTVILA, Fr Juozas",Victim,England,27.0,Passenger,Male,2nd Class,211536,£13
"PERUSCHITZ, Fr Josef",Victim,Germany,41.0,Passenger,Male,2nd Class,237393,£13
"SOBEY, Mr Samuel James Hayden",Victim,England,25.0,Passenger,Male,2nd Class,29178,£13
"TROUPIANSKY, Mr Moses Aaron",Victim,England,23.0,Passenger,Male,2nd Class,233639,£13
"WILLIAMS, Mr Charles Eugene",Survivor,England,23.0,Passenger,Male,2nd Class,244373,£13
"BRACKEN, Mr James H.",Victim,United States,29.0,Passenger,Male,2nd Class,220367,£13
"OTTER, Mr Richard",Victim,United States,38.0,Passenger,Male,2nd Class,28213,£13
"BEESLEY, Mr Lawrence",Survivor,England,34.0,Passenger,Male,2nd Class,248698,£13
"BALL, Mrs Ada E.",Survivor,England,36.0,Passenger,Female,2nd Class,28551,£13
"BENTHAM, Miss Lillian W.",Survivor,United States,19.0,Passenger,Female,2nd Class,28404,£13
"BUSS, Miss Kate",Survivor,England,36.0,Passenger,Female,2nd Class,27849,£13
"BYSTRöM, Mrs Karolina",Survivor,United States,40.0,Passenger,Female,2nd Class,236852,£13
"DAVIS, Miss Mary",Survivor,England,28.0,Passenger,Female,2nd Class,237668,£13
"GARSIDE, Miss Ethel",Survivor,,34.0,Passenger,Female,2nd Class,243880,£13
"PINSKY, Mrs Rosa",Survivor,,32.0,Passenger,Female,2nd Class,234604,£13
"REYNALDS, Sra. Encarnación",Survivor,Spain,28.0,Passenger,Female,2nd Class,230434,£13
"SILVéN, Miss Lyyli Karoliina",Survivor,Finland,17.0,Passenger,Female,2nd Class,250652,£13
"SINKKONEN, Miss Anna",Survivor,United States,29.0,Passenger,Female,2nd Class,250648,£13
"SMITH, Miss Marion Elsie",Survivor,England,39.0,Passenger,Female,2nd Class,31418,£13
"WEBBER, Miss Susan",Survivor,England,37.0,Passenger,Female,2nd Class,27267,£13
"WILHELMS, Mr Charles",Survivor,England,32.0,Passenger,Male,2nd Class,244270,£13
"ASHBY, Mr John",Victim,United States,57.0,Passenger,Male,2nd Class,244346,£13
"BERRIMAN, Mr William John",Victim,England,23.0,Passenger,Male,2nd Class,28425,£13
"BOTSFORD, Mr William Hull",Victim,United States,25.0,Passenger,Male,2nd Class,237670,£13
"BRITO, Mr José Joaquim de",Victim,,32.0,Passenger,Male,2nd Class,244360,£13
"COLLANDER, Mr Erik Gustaf",Victim,Finland,27.0,Passenger,Male,2nd Class,248740,£13
"EITEMILLER, Mr George Floyd",Victim,England,23.0,Passenger,Male,2nd Class,29751,£13
"ENANDER, Mr Ingvar",Victim,Sweden,21.0,Passenger,Male,2nd Class,236854,£13
"FAHLSTRøM, Mr Arne Joma",Victim,Norway,18.0,Passenger,Male,2nd Class,236171,£13
"FOX, Mr Stanley Hubert",Victim,United States,38.0,Passenger,Male,2nd Class,229236,£13
"GIVARD, Mr Hans Kristensen",Victim,Argentina,30.0,Passenger,Male,2nd Class,250646,£13
"GREENBERG, Mr Samuel",Victim,South Africa,52.0,Passenger,Male,2nd Class,250647,£13
"HILTUNEN, Miss Marta",Victim,Finland,18.0,Passenger,Female,2nd Class,250650,£13
"PONESELL, Mr Martin",Victim,England,24.0,Passenger,Male,2nd Class,250647,£13
"SCHMIDT, Mr August",Victim,United States,26.0,Passenger,Male,2nd Class,248659,£13
"SEDGWICK, Mr Charles Frederick Waddington",Victim,England,25.0,Passenger,Male,2nd Class,244361,£13
"VEAL, Mr James",Victim,United States,40.0,Passenger,Male,2nd Class,28221,£13
"YVOIS, Miss Henriette",Victim,France,24.0,Passenger,Female,2nd Class,248747,£13
"NORMAN, Mr Robert Douglas",Victim,Scotland,28.0,Passenger,Male,2nd Class,218629,£13 10s
"MCCRAE, Mr Arthur Gordon",Victim,Australia,32.0,Passenger,Male,2nd Class,237216,£13 10s
"KELLY, Mrs Fanny Maria",Survivor,England,45.0,Passenger,Female,2nd Class,223596,£13 10s
"WRIGHT, Miss Marion",Survivor,England,26.0,Passenger,Female,2nd Class,220844,£13 10s
"CHAPMAN, Mr Charles Henry",Victim,United States,52.0,Passenger,Male,2nd Class,248731,£13 10s
"GILES, Mr Ralph",Victim,England,24.0,Passenger,Male,2nd Class,248726,£13 10s
"SJöSTEDT, Mr Ernst Adolf",Victim,Sweden,59.0,Passenger,Male,2nd Class,237442,£13 10s
"JERWAN, Mrs Marie Marthe",Survivor,United States,23.0,Passenger,Female,2nd Class,541,£13 15s 10d
"PEACOCK, Master Alfred Edward",Victim,,0.58,Passenger,Male,3rd Class,3101315,£13 15s 6d
"PEACOCK, Miss Treasteall",Victim,,3.0,Passenger,Female,3rd Class,3101315,£13 15s 6d
"PEACOCK, Mrs Edith",Victim,,26.0,Passenger,Female,3rd Class,3101315,£13 15s 6d
"DURáN I MONé, Sra. Florentina",Survivor,Spain,30.0,Passenger,Female,2nd Class,2148,£13 17s 2d
"DURAN Y MORE, Sra. Asuncion",Survivor,Spain,27.0,Passenger,Female,2nd Class,2149,£13 17s 2d
"PALLàS I CASTELLó, Sr. Emili",Survivor,Spain,29.0,Passenger,Male,2nd Class,2147,£13 17s 2d
"PADRON MANENT, Mr Julian",Survivor,Spain,26.0,Passenger,Male,2nd Class,2146,£13 17s 3d
"NOURNEY, Mr Alfred",Survivor,Germany,20.0,Passenger,Male,1st Class,2166,£13 17s 3d
"DYKER, Mr Adolf Fredrik",Victim,United States,23.0,Passenger,Male,3rd Class,347072,£13 18s
"DYKER, Mrs Anna Elisabeth Judith",Survivor,United States,22.0,Passenger,Female,3rd Class,347072,£13 18s
"KARUN, Mr Franz",Survivor,United States,39.0,Passenger,Male,3rd Class,349256,£13 8s 4d
"KARUN, Miss Manca",Survivor,,4.0,Passenger,Female,3rd Class,349256,£13 8s 4d
"FRAUENTHAL, Dr Henry William",Survivor,United States,49.0,Passenger,Male,1st Class,17611,£133 13s
"FRAUENTHAL, Mrs Clara",Survivor,United States,42.0,Passenger,Female,1st Class,17611,£133 13s
"BURNS, Miss Elizabeth Margaret",Survivor,,41.0,Passenger,Female,1st Class,16966,£134 10s
"WILSON, Miss Helen Alice",Survivor,,31.0,Passenger,Female,1st Class,16966,£134 10s
"SPEDDEN, Master Robert Douglas",Survivor,United States,6.0,Passenger,Male,1st Class,16966,£134 10s
"SPEDDEN, Mr Frederic Oakley",Survivor,United States,45.0,Passenger,Male,1st Class,16966,£134 10s
"SPEDDEN, Mrs Margaretta Corning",Survivor,United States,39.0,Passenger,Female,1st Class,16966,£134 10s
"RIGHINI, Mr Sante",Victim,,22.0,Passenger,Male,1st Class,17760,£135 12s 8d
"WHITE, Mrs Ella",Survivor,,55.0,Passenger,Female,1st Class,17760,£135 12s 8d
"YOUNG, Miss Marie Grice",Survivor,United States,36.0,Passenger,Female,1st Class,17760,£135 12s 8d
"CLARK, Mrs Virginia Estelle",Survivor,United States,26.0,Passenger,Female,1st Class,13508,£136 15s 7d
"CLARK, Mr Walter Miller",Victim,United States,27.0,Passenger,Male,1st Class,13508,£136 15s 7d
"MORAWECK, Dr Ernest",Victim,United States,54.0,Passenger,Male,2nd Class,29011,£14
"RISIEN, Mr Samuel Beard",Victim,England,69.0,Passenger,Male,3rd Class,364498,£14 10s
"ROBINS, Mr Alexander A.",Victim,England,50.0,Passenger,Male,3rd Class,3337,£14 10s
"GARFIRTH, Mr John",Victim,England,21.0,Passenger,Male,3rd Class,358585,£14 10s
"PATCHETT, Mr George",Victim,England,19.0,Passenger,Male,3rd Class,358585,£14 10s
"HäMäLäINEN, Master Viljo Unto Johannes",Survivor,United States,0.58,Passenger,Male,2nd Class,250649,£14 10s
"HäMäLäINEN, Mrs Anna",Survivor,United States,23.0,Passenger,Female,2nd Class,250649,£14 10s
"RISIEN, Mrs Emma",Victim,England,58.0,Passenger,Female,3rd Class,364498,£14 10s
"ROBINS, Mrs Grace Charity",Victim,England,47.0,Passenger,Female,3rd Class,3337,£14 10s
"VAN BILLIARD, Master James William",Victim,England,10.0,Passenger,Male,3rd Class,851,£14 10s
"VAN BILLIARD, Master Walter John",Victim,England,9.0,Passenger,Male,3rd Class,851,£14 10s
"VAN BILLIARD, Mr Austin Blyler",Victim,England,35.0,Passenger,Male,3rd Class,851,£14 10s
"HANSEN, Mr Claus Peter",Victim,United States,41.0,Passenger,Male,3rd Class,350026,£14 2s 2d
"HANSEN, Mrs Jennie Louise",Survivor,United States,45.0,Passenger,Female,3rd Class,350026,£14 2s 2d
"DANBOM, Mr Ernst Gilbert",Victim,Sweden,34.0,Passenger,Male,3rd Class,347080,£14 8s
"DANBOM, Master Gilbert Sigvard Emanuel",Victim,Sweden,0.33,Passenger,Male,3rd Class,347080,£14 8s
"DANBOM, Mrs Anna Sigrid Maria",Victim,Sweden,28.0,Passenger,Female,3rd Class,347080,£14 8s
"KHALIL, Mr Betros",Victim,Lebanon,25.0,Passenger,Male,3rd Class,2660,£14 9s 1d
"KHALIL, Mrs Zahie ""Maria""",Victim,Lebanon,20.0,Passenger,Female,3rd Class,2660,£14 9s 1d
"CHRONOPOULOS, Mr Apostolos M.",Victim,,26.0,Passenger,Male,3rd Class,2680,£14 9s 1d
"CHRONOPOULOS, Mr Dimitrios M.",Victim,,21.0,Passenger,Male,3rd Class,2680,£14 9s 1d
"YASBECK, Mr Antoni",Victim,Lebanon,27.0,Passenger,Male,3rd Class,2659,£14 9s 1d
"BARBARA, Miss Saiide",Victim,Lebanon,18.0,Passenger,Female,3rd Class,2691,£14 9s 1d
"BARBARA, Mrs Catherine David",Victim,Lebanon,45.0,Passenger,Female,3rd Class,2691,£14 9s 1d
"JABBUR (ZABOUR), Miss Hileni",Victim,,16.0,Passenger,Female,3rd Class,2665,£14 9s 1d
"JABBUR (ZABOUR), Miss Thamine",Victim,,19.0,Passenger,Female,3rd Class,2665,£14 9s 1d
"YAZBECK, Mrs Selini",Survivor,Lebanon,15.0,Passenger,Female,3rd Class,2659,£14 9s 1d
"CARAM, Mrs Maria Elias",Victim,Lebanon,18.0,Passenger,Female,3rd Class,2689,£14 9s 2d
"CARAM, Mr Joseph",Victim,Canada,28.0,Passenger,Male,3rd Class,2689,£14 9s 2d
"ATTALAH, Miss Malake",Victim,Lebanon,17.0,Passenger,Female,3rd Class,2627,£14 9s 2d
"IBRAHIM SHAWAH, Mr Yousseff",Victim,Lebanon,33.0,Passenger,Male,3rd Class,2627,£14 9s 2d
"LURETTE, Miss Eugénie Elise",Survivor,,59.0,Passenger,Female,1st Class,17569,£146 10s 5d
"SPENCER, Mrs Marie Eugenie",Survivor,United States,45.0,Passenger,Female,1st Class,17569,£146 10s 5d
"SPENCER, Mr William Augustus",Victim,United States,57.0,Passenger,Male,1st Class,17569,£146 10s 5d
"JARVIS, Mr Denzil John",Victim,England,47.0,Passenger,Male,2nd Class,237565,£15
"MCEVOY, Mr Michael",Victim,Ireland,19.0,Passenger,Male,3rd Class,36568,£15 10s
"O'BRIEN, Mr Thomas",Victim,Ireland,27.0,Passenger,Male,3rd Class,370365,£15 10s
"BOURKE, Mr John",Victim,Ireland,42.0,Passenger,Male,3rd Class,364849,£15 10s
"LENNON, Mr Denis",Victim,Ireland,20.0,Passenger,Male,3rd Class,370371,£15 10s
"O'BRIEN, Mrs Johanna ""Hannah""",Survivor,Ireland,26.0,Passenger,Female,3rd Class,370365,£15 10s
"BOURKE, Mrs Catherine",Victim,Ireland,32.0,Passenger,Female,3rd Class,364849,£15 10s
"MURPHY, Miss Catherine ""Kate""",Survivor,Ireland,18.0,Passenger,Female,3rd Class,367230,£15 10s
"MURPHY, Miss Margaret Jane ""Mary"" ""Maggie""",Survivor,Ireland,25.0,Passenger,Female,3rd Class,367230,£15 10s
"MURPHY, Miss Nora",Survivor,Ireland,34.0,Passenger,Female,3rd Class,36568,£15 10s
"MULLIN, Miss Mary (_Lennon)",Victim,Ireland,18.0,Passenger,Female,3rd Class,370371,£15 10s
"MALACHARD, Mr Jean-Noël",Victim,France,25.0,Passenger,Male,2nd Class,237735,£15 11d
"RICHARD, Mr Emile Phillippe",Victim,,23.0,Passenger,Male,2nd Class,2133,£15 11d
"STANTON, Mr Samuel Ward",Victim,United States,42.0,Passenger,Male,2nd Class,237734,£15 11d
"LINDELL, Mr Edvard Bengtsson",Victim,Sweden,36.0,Passenger,Male,3rd Class,349910,£15 11s
"LINDELL, Mrs Elin Gerda",Victim,Sweden,30.0,Passenger,Female,3rd Class,349910,£15 11s
"MANGIAVACCHI, Mr Serafino Emilio",Victim,United States,30.0,Passenger,Male,2nd Class,32861,£15 11s 7d
"NAKID, Miss Maria",Survivor,Lebanon,1.0,Passenger,Female,3rd Class,2653,£15 14s 10d
"NAKID, Mr Sahid",Survivor,Lebanon,20.0,Passenger,Male,3rd Class,2653,£15 14s 10d
"NAKID, Mrs Waika ""Mary""",Survivor,Lebanon,19.0,Passenger,Female,3rd Class,2653,£15 14s 10d
"WATT, Miss Robertha Josephine",Survivor,Scotland,12.0,Passenger,Female,2nd Class,33595,£15 15s
"WATT, Mrs Elizabeth ""Bessie"" Inglis",Survivor,Scotland,40.0,Passenger,Female,2nd Class,33595,£15 15s
"BACKSTRöM, Mr Karl Alfred",Victim,Finland,32.0,Passenger,Male,3rd Class,3101278,£15 17s
"HAKKARAINEN, Mr Pekka Pietari",Victim,Finland,28.0,Passenger,Male,3rd Class,3101279,£15 17s
"BACKSTRöM, Mrs Maria Mathilda",Survivor,Finland,33.0,Passenger,Female,3rd Class,3101278,£15 17s
"HAKKARAINEN, Mrs Elin Matilda",Survivor,Finland,24.0,Passenger,Female,3rd Class,3101279,£15 17s
"COUTTS, Master Neville Leslie",Survivor,England,3.0,Passenger,Male,3rd Class,37671,£15 18s
"COUTTS, Master William Loch ""Willie""",Survivor,England,9.0,Passenger,Male,3rd Class,37671,£15 18s
"COUTTS, Mrs Winnie ""Minnie""",Survivor,England,36.0,Passenger,Female,3rd Class,37671,£15 18s
"PERNOT, Mr René",Victim,France,39.0,Passenger,Male,2nd Class,2131,£15 1s
"EVERETT, Mr Thomas James",Victim,England,39.0,Passenger,Male,3rd Class,6212,£15 2s
"SHELLARD, Mr Frederick William Blainey",Victim,England,55.0,Passenger,Male,3rd Class,6212,£15 2s
"MOUBAREK, Master Gerios (""George _"")",Survivor,Lebanon,7.0,Passenger,Male,3rd Class,2661,£15 4s 11d
"MOUBAREK, Master Halim Gonios (""William George"")",Survivor,Lebanon,4.0,Passenger,Male,3rd Class,2661,£15 4s 11d
"MOUBAREK, Mrs Omine",Survivor,Lebanon,24.0,Passenger,Female,3rd Class,2661,£15 4s 11d
"TOUMA, Master Georges Youssef (""George Thomas"")",Survivor,Lebanon,8.0,Passenger,Male,3rd Class,2650,£15 4s 11d
"TOUMA, Miss Maria Youssef (""Mary Thomas"")",Survivor,Lebanon,9.0,Passenger,Female,3rd Class,2650,£15 4s 11d
"TOUMA, Mrs Hanna Youssef",Survivor,Lebanon,27.0,Passenger,Female,3rd Class,2650,£15 4s 11d
"BOULOS, Master Akar",Victim,,9.0,Passenger,Male,3rd Class,2678,£15 4s 11d
"BOULOS, Miss Nourelain",Victim,,7.0,Passenger,Female,3rd Class,2678,£15 4s 11d
"BOULOS, Mrs Sultana",Victim,,40.0,Passenger,Female,3rd Class,2678,£15 4s 11d
"PULBAUM, Mr Franz",Victim,United States,27.0,Passenger,Male,2nd Class,2168,£15 8d
"ALLISON, Mr Hudson Joshua Creighton",Victim,Canada,30.0,Passenger,Male,1st Class,113781,£151 16s
"CLEAVER, Miss Alice Catherine",Survivor,England,22.0,Passenger,Female,1st Class,113781,£151 16s
