id,turns,victory_status,winner,white_rating,black_rating,opening_name
p30PeXvE,36,resign,black,1500,978,English Opening: King's English Variation
PBS4FEld,8,resign,white,1521,1162,Zukertort Opening: Ross Gambit
0lDqWVlz,3,resign,white,1407,1500,Sicilian Defense: Closed Variation
O3wdIwg7,28,resign,white,1492,1458,Vienna Game: Mengarini Variation
48ktrxLp,30,resign,black,1414,1442,Philidor Defense: Larsen Variation
i2GBGO0R,44,resign,black,1457,1294,Scotch Game
QZSTu1aT,29,resign,white,1525,1466,Philidor Defense: Lopez Countergambit
9tU9MM6P,37,resign,black,1207,1579,French Defense: Knight Variation
ztpC1S2c,49,resign,white,1567,1573,Modern Defense
qc8aH5XL,32,resign,black,1578,1605,Horwitz Defense
6sTz6t7D,25,resign,white,1939,1581,Blumenfeld Countergambit #2
XuyVUkDi,40,mate,black,1618,1568,French Defense #2
D5Oa4vGO,39,resign,white,1755,1574,Zukertort Opening: Kingside Fianchetto
6QAiH2Yy,57,resign,white,1561,1596,Indian Game
l7top9ps,78,resign,black,1500,1554,French Defense: Queen's Knight
nG3Of11I,61,resign,white,1544,1461,Queen's Pawn Game: Mason Attack
cUzM68JF,44,resign,black,1563,1335,Queen's Pawn Game: Mason Attack
NZSBXWl2,62,mate,black,1579,1470,Queen's Pawn
DHuXFP6C,87,mate,white,1617,1590,Indian Game
00R4UOcU,54,mate,black,1207,1588,French Defense: Advance |  Steinitz Variation
IN15cBnB,54,resign,black,1595,1547,Queen's Pawn Game: Mason Attack
WYOts2ME,37,resign,white,1855,1599,French Defense: Exchange Variation
oWFQ8mnz,50,resign,white,1589,1547,Horwitz Defense
i2I8y9Xh,131,resign,white,1571,1728,Queen's Pawn Game: London System
osPCRdxJ,48,resign,white,1720,1579,French Defense: Chigorin Variation
Mi1AmkiI,47,resign,black,1579,2105,Queen's Pawn Game: London System
7kK30TmL,64,mate,black,1768,1560,French Defense: La Bourdonnais Variation
ThCXomTn,61,resign,white,1552,1436,Queen's Pawn Game: Mason Attack
4dH72B3d,57,mate,white,1536,1667,Queen's Pawn Game: London System
4jRtIZTy,51,resign,white,1521,1549,English Opening: Anglo-Lithuanian Variation
wNK2HdLb,58,mate,black,1251,1545,Crab Opening
d62Tg4dc,71,resign,white,1537,1408,Queen's Pawn Game: Mason Attack
TaSQfvww,114,resign,white,1522,1512,Queen's Pawn
Xwpzq87m,39,resign,white,1602,1532,French Defense: Winawer Variation |  Advance Variation #2
AHmgnsKz,20,resign,black,1543,1593,Queen's Pawn Game: London System
MfNml1rl,48,resign,black,1556,1539,Queen's Pawn Game: Mason Attack
mEAvshF2,34,mate,black,1409,1548,French Defense: Knight Variation
ySsVdRfw,51,resign,white,1539,1418,Queen's Pawn Game: London System
ylLqmXwb,69,resign,white,1603,1550,French Defense: Queen's Knight
8mceLIXN,28,resign,white,1542,1399,Queen's Pawn Game: Steinitz Countergambit
YmJpuJkM,62,resign,black,1546,1877,Queen's Pawn Game: London System
PNNfempy,62,mate,black,1134,1535,Queen's Indian Defense
TVfozmF5,85,mate,white,1513,1784,Horwitz Defense
4LX77G3m,38,resign,white,1501,1445,Queen's Pawn Game: London System
nBfSissu,14,resign,white,1500,1500,Italian Game: Giuoco Pianissimo |  Normal
h1unxHlo,113,draw,draw,1745,1714,Queen's Gambit Refused: Marshall Defense
OIyTAHCP,62,resign,white,1734,1748,Queen's Gambit Refused: Marshall Defense
bnCnIJSz,101,resign,white,1942,1739,French Defense: Marshall Variation
ZzWyY1f8,75,outoftime,white,1724,1855,Scotch Game
mkKSL3Ev,135,mate,white,1951,1729,French Defense: Advance Variation |  Main Line
aVwWNjNR,81,outoftime,white,1726,1388,Philidor Defense
DNUmSBH4,46,resign,black,1735,1806,Gruenfeld Defense
Tlng5eqN,70,mate,black,1597,1728,French Defense: Knight Variation
wljkejE0,39,resign,white,1743,1738,French Defense: Rubinstein Variation |  Fort Knox Variation
iNZuj8bY,91,resign,white,1721,1750,Queen's Gambit Declined: Traditional Variation
Kan2JKOp,137,outoftime,white,1746,1487,Queen's Gambit Accepted: Old Variation
bCUwPEJ7,46,resign,black,1744,1735,French Defense: Advance Variation |  Paulsen Attack
zTwM10Si,18,resign,black,1749,1631,Queen's Gambit Declined: Semi-Tarrasch |  5.cxd5
PBQ5Il7e,28,resign,black,1769,1396,Queen's Gambit Accepted: Old Variation
z1LTn4pe,40,resign,black,1795,1760,Yusupov-Rubinstein System
7NKtCk3B,111,mate,white,1729,1795,Queen's Gambit Declined: Queen's Knight Variation
TMtvbg3w,54,mate,black,1795,1784,Ruy Lopez: Classical Variation
0OXPfTEt,33,resign,white,1770,1872,Queen's Pawn Game: Zukertort Variation
YzMf40DM,90,resign,black,1783,1721,Queen's Pawn Game: London System
q3NHAFFp,90,resign,black,1884,1768,Ruy Lopez: Classical Variation |  Central Variation
Gz7Icasx,40,mate,black,1756,1756,Bishop's Opening: Ponziani Gambit
3n4poRIX,49,outoftime,white,1724,1958,Benoni Defense: Benoni-Indian Defense |  Kingside Move Order
XRuQPSzH,50,resign,black,2036,1706,King's Indian Attack: French Variation
XPZikam7,59,mate,white,1706,925,Queen's Pawn Game: London System
5SNh53F9,26,outoftime,black,1244,1219,Nimzowitsch Defense: Mikenas Variation
ezdEKpqG,23,mate,white,1215,921,Italian Game
WyQjriEX,118,mate,black,1350,1201,Alekhine Defense #2
vAOIY0jj,66,mate,black,1210,1280,Sicilian Defense: Nimzowitsch Variation
gHld9WSr,120,draw,draw,1139,1212,Four Knights Game: Italian Variation
dh2xQb3X,36,mate,black,1220,1341,Italian Game: Two Knights Defense |  Fried Liver Attack
TKwuIzb6,26,mate,black,1234,1359,Italian Game: Anti-Fried Liver Defense
s752sCLr,62,resign,black,1275,1236,Italian Game: Two Knights Defense |  Fried Liver Attack
lKYmVLZt,37,resign,white,1433,1282,Alekhine Defense: Maroczy Variation
dRhehsEy,24,resign,black,1132,1276,Queen's Gambit Refused: Marshall Defense
7rbdtPwO,47,resign,white,1276,1308,Italian Game: Anti-Fried Liver Defense
ahwTovI0,37,resign,black,1228,1266,Alekhine Defense: Two Pawn Attack |  Lasker Variation
fgK91ojo,24,resign,black,1273,1409,Caro-Kann Defense: Exchange Variation
Cmhkui8U,9,resign,white,1338,1277,Queen's Pawn Game #2
TRpFAEWd,47,mate,white,1263,1336,Sicilian Defense: Modern Variations |  Main Line
btHFH9xr,85,mate,white,1316,1273,English Opening: King's English Variation
G9xaiPFl,39,mate,white,1248,1253,Goldsmith Defense
RkMlSx4r,58,mate,black,1335,1233,Nimzo-Indian Defense
Z1CTghfR,95,mate,white,1223,1189,Italian Game: Two Knights Defense |  Fried Liver Attack
X4QqWp8Q,2,resign,black,1443,1204,Alekhine Defense
R6dF4yRx,97,mate,white,1227,1216,Queen's Gambit Refused: Marshall Defense
PLxCc87r,12,draw,draw,1215,1219,Italian Game
p7a4FGwp,30,resign,white,1227,1227,Four Knights Game: Italian Variation
3udM9T6k,43,mate,white,1550,1225,Bogo-Indian Defense: Exchange Variation
hkMNenrh,11,resign,white,1325,1234,Alekhine Defense
jrmlULM0,72,mate,black,1212,1221,Alekhine Defense: Saemisch Attack
JbLparSt,156,mate,black,1226,1478,King's Knight Opening
mqZFkCf3,18,resign,black,1228,1626,Queen's Gambit Declined
dZn9WLT5,77,mate,white,1191,1228,French Defense: Classical Variation |  Steinitz Variation
MgL176RS,32,resign,black,1422,1210,Alekhine Defense: Two Pawn Attack
V16nc5AF,35,resign,white,1186,1223,Vienna Game: Vienna Gambit
GT8TdRlm,85,mate,white,1212,1212,Modern Defense
2P2u5f63,50,resign,black,1228,1343,Scandinavian Defense: Panov Transfer
15nlkNRf,111,resign,white,1865,1862,Yusupov-Rubinstein System
xwl41jna,65,outoftime,white,1852,1852,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
1zRjgcqm,73,resign,white,1833,1863,Benoni Defense
vfnLULoh,125,resign,white,1851,1918,Sicilian Defense: Hyperaccelerated Dragon
ut6LIGPI,76,resign,black,1861,1844,Italian Game: Anti-Fried Liver Defense
1KbSJtjs,65,outoftime,white,1853,1774,Ruy Lopez: Berlin Defense #2
cqrATt9o,41,mate,white,1910,1862,Sicilian Defense: Najdorf |  Lipnitsky Attack
deKfSOPy,59,resign,white,1851,1890,French Defense: Knight Variation
vQ1psjxd,70,resign,black,1860,1840,Sicilian Defense: Delayed Alapin
k1qV5HHz,34,resign,white,1828,1848,Sicilian Defense: Canal-Sokolsky Attack
QQ3iIM2V,69,outoftime,white,1855,1858,Amar Opening
GppFo58m,63,resign,white,1847,1895,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
BoDJGVyk,107,resign,white,1885,1856,Sicilian Defense
tqirXAEm,58,resign,white,1847,1802,Queen's Pawn
GLC4oNZR,34,resign,black,1847,1856,Caro-Kann Defense: Two Knights Attack |  Mindeno Variation
3eLsB99C,100,outoftime,black,1840,1837,Sicilian Defense: Alapin Variation
M6zMVwqK,80,resign,black,1848,1806,Sicilian Defense: French Variation
yrQWTJVz,44,resign,black,1860,1820,French Defense: Knight Variation
aF6DiZZe,40,outoftime,black,1854,1849,Paleface Attack
0dm3RaQv,105,outoftime,white,1895,1859,Sicilian Defense
BxxAvvER,50,resign,black,1866,1965,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack |  Fianchetto Variation
fPPfEuu5,144,outoftime,draw,1866,1843,Sicilian Defense
Hysqcekp,81,resign,black,1835,1866,Caro-Kann Defense: Classical Variation |  Flohr Variation
oaKcGCrO,69,resign,black,1877,1860,Ruy Lopez: Bird Variation
xMezmOBz,77,mate,white,1849,1874,Sicilian Defense: Najdorf Variation |  Adams Attack
46AuHfcq,158,mate,black,1835,1865,Blumenfeld Countergambit #2
A7ddojjI,107,draw,draw,1866,1835,Italian Game: Two Knights Defense |  Modern Bishop's Opening
SGqoxO3v,117,mate,white,1856,1829,Ruy Lopez: Morphy Defense #2
pHJ5zXyE,44,resign,white,1845,1846,Ruy Lopez: Morphy Defense |  Classical Defense Deferred
WqMvA7iE,40,resign,black,1834,1835,Sicilian Defense: Old Sicilian
s3v6jMaX,59,resign,white,1846,1845,Caro-Kann Defense
hl3zLZmV,110,resign,black,1845,1917,Queen's Gambit Refused: Marshall Defense
PHYPEO42,30,resign,black,1858,1790,Scandinavian Defense: Mieses-Kotroc Variation
NgZ8xxFe,54,resign,black,1871,1847,Sicilian Defense: Old Sicilian
1ZeBVc5V,69,resign,black,1846,1869,Philidor Defense
OmwDxZpJ,178,mate,black,1843,1836,Sicilian Defense: Alapin Variation
JewxmuG9,136,resign,black,1800,1826,Sicilian Defense
0gTDO6Av,124,mate,black,1283,1267,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
t7vvcwqO,96,resign,black,1290,1270,Hungarian Opening
igSDFKv0,53,outoftime,white,1331,1281,Queen's Pawn Game #3
facMwkUo,39,mate,white,1304,1292,Van't Kruijs Opening
j5KY62yS,10,mate,black,1305,1293,French Defense: Normal Variation
nyYULwUl,51,mate,white,1308,1317,Center Game: Berger Variation
h0YsGMhj,18,resign,black,1296,1305,Italian Game: Giuoco Piano |  Greco's Attack
o4T7dj5h,106,mate,black,968,1305,Four Knights Game: Italian Variation
VgNt0SSX,38,mate,black,1293,1466,Philidor Defense #3
UvqLtnPM,59,mate,white,1500,1299,Ruy Lopez: Exchange Variation
1b0kpInt,111,mate,white,1288,1232,Caro-Kann Defense
dJEtAQp7,28,resign,black,1289,2108,Ruy Lopez: Morphy Defense |  Tarrasch Variation
ZPHBiKBY,101,outoftime,white,1431,1289,Center Game: Normal Variation
I8odmGjb,15,mate,white,1806,1289,Scotch Game
DijZlfMy,42,resign,white,1289,1311,Philidor Defense #3
LyRqbD4d,118,resign,black,1431,1289,Englund Gambit Declined |  Reversed French
CvakmVNb,34,resign,black,1289,1484,Giuoco Piano
O037dETy,60,resign,black,1289,1810,Sicilian Defense: Hyperaccelerated Fianchetto
CxQlHSnq,66,resign,black,1806,1289,Scotch Game
Q0jogkvi,21,outoftime,white,1289,1500,Philidor Defense #3
QurxyQkA,73,mate,white,1409,1297,Ruy Lopez: Morphy Defense |  Caro Variation
mJ9VpdxV,159,mate,white,1280,1485,Italian Game: Anti-Fried Liver Defense
edYOVb5F,74,resign,white,1280,1211,Scandinavian Defense: Mieses-Kotroc Variation
GstYv2mJ,28,mate,black,1211,1280,Crab Opening
dFQ5D7CS,112,mate,black,1281,1765,Philidor Defense #4
2FpFvoMt,104,resign,black,1288,1454,Petrov's Defense
cywOBEY5,40,mate,black,1560,1270,Queen's Gambit Refused: Chigorin Defense #2
pnU8dLUx,44,mate,black,1274,1534,Sicilian Defense: Jalalabad Variation
lE65efFF,150,draw,draw,1259,1663,Italian Game: Anti-Fried Liver Defense
bCVL4bZl,60,mate,black,1614,1238,Queen's Pawn Game: London System
WUyPeYW8,37,mate,white,1221,1417,French Defense: Advance Variation |  Milner-Barry Gambit
xRY7h8aS,88,outoftime,black,1222,1732,Sicilian Defense: Open #3
92UGyHOr,113,mate,white,1232,1234,Ruy Lopez: Exchange Variation
UqxaqU7R,55,mate,white,1240,1219,Russian Game: Damiano Variation |  Kholmov Gambit
TTzZc8gW,135,mate,white,1590,1600,English Opening: Carls-Bremen System
F7oADKYb,137,draw,draw,1568,1617,Italian Game
GoYkQEoS,97,outoftime,white,1500,1358,Four Knights Game
DszY6Pr4,33,resign,black,1384,1325,Pirc Defense #4
FhJcOzZW,29,resign,black,1384,1265,Zukertort Opening: Old Indian Attack
kKFslhlg,55,resign,black,1384,1950,Zukertort Opening: Sicilian Invitation
VVkKGe4E,91,resign,white,1377,1249,Scandinavian Defense: Mieses-Kotroc Variation
11VaOez1,53,resign,white,1375,1389,King's Pawn Game: Wayward Queen Attack |  Kiddie Countergambit
2akR3Bit,49,mate,white,1378,1361,Philidor Defense
mG2dEz4z,48,mate,black,1261,1371,King's Pawn Game: Maroczy Defense
xrZnbIGD,20,resign,black,1380,1429,Sicilian Defense: Old Sicilian
lOU3lddA,87,mate,white,1369,1368,Russian Game: Damiano Variation
xYEVgk0W,11,resign,white,1290,1371,Ruy Lopez: Morphy Defense |  Mackenzie Variation
QnXuc72h,110,draw,draw,1372,1326,St. George Defense
ejaSwZEr,24,resign,white,1361,1383,Van't Kruijs Opening
3ZfA3gFa,23,resign,white,1217,1399,English Opening: King's English Variation |  Two Knights Variation
WoOqoYEL,81,mate,white,1387,1447,Ruy Lopez
EgoW2NiE,34,resign,black,1474,1387,Scandinavian Defense
ZctgRAt4,103,mate,white,1377,1351,Philidor Defense #2
VuZ0dzhO,29,resign,black,1389,1339,King's Pawn Game: McConnell Defense
1cvi4Z6K,22,resign,black,1389,1400,Philidor Defense #2
E83xJFBo,38,resign,white,1849,1389,Scotch Game
hVSNfLer,46,mate,black,1395,1378,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
XyM6zTew,23,outoftime,white,1370,1257,Ruy Lopez: Bird Variation
5sEcA5zs,31,resign,white,1360,1332,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
wXnKMk3N,51,resign,white,1311,1360,King's Pawn Game: Beyer Gambit
YPVYpEvm,87,mate,white,1714,1360,Ruy Lopez: Classical Variation
rth667hB,31,mate,white,1354,1217,Italian Game
rb7lq7dT,38,resign,black,1245,1346,Queen's Gambit Accepted: Old Variation
hxMTrlzW,43,resign,white,1346,1099,Italian Game: Anti-Fried Liver Defense
hfNJtVnd,105,resign,white,1336,1287,King's Indian Attack: Keres Variation #2
ijtzfFex,87,outoftime,white,1580,1555,English Opening: Anglo-Scandinavian Defense
Uc64bIGE,36,mate,black,1555,1580,Sicilian Defense: Marshall Counterattack
o1qwAoUy,38,resign,black,1649,1547,French Defense: Advance Variation #4
voV4ekhS,110,resign,black,1426,1527,French Defense: Knight Variation
VUCRbEm8,48,resign,black,1557,1547,Ruy Lopez: Morphy Defense |  Caro Variation
LDLdtyDj,95,mate,white,1557,1607,Nimzo-Indian Defense #2
Gr1n1AdP,70,mate,black,1607,1557,Bird Opening
1TpYTEKR,42,resign,white,1557,1632,Sicilian Defense: Open #3
AUzK1bj8,177,outoftime,white,1535,1609,Italian Game: Two Knights Defense |  Polerio Defense |  Bishop Check Line
R5SfPQiB,114,mate,black,1713,1558,Hungarian Opening: Indian Defense
VXdhNTk5,57,resign,white,1497,1730,Owen Defense
kTRSenmv,57,resign,white,1437,1552,Italian Game
FE7B5vY8,82,draw,draw,1516,1552,Bird Opening
PEIWrbTQ,29,mate,white,1513,1456,Sicilian Defense
8hlHAFPF,70,resign,black,1355,1478,Italian Game: Two Knights Defense |  Modern Bishop's Opening
BwBDbyKq,97,mate,white,1638,1614,Italian Game: Anti-Fried Liver Defense
E41MaCB9,99,resign,white,1613,1934,Caro-Kann Defense: Maroczy Variation |  Maroczy Gambit
UVbhSOnA,74,resign,black,1865,1613,Queen's Pawn Game: Torre Attack
HYMGpINp,48,mate,black,1776,1587,Queen's Pawn Game
L9UeFctE,77,mate,white,1568,1593,French Defense: Marshall Variation
DbYHY9Bc,80,resign,black,1605,1546,Scandinavian Defense: Icelandic-Palme Gambit
7fftvkF6,35,resign,white,1518,1709,Nimzowitsch Defense: Lean Variation |  Colorado Counter Accepted
IlQp1eqc,33,resign,white,1728,1527,Semi-Slav Defense: Noteboom Variation
atgsbOBS,87,mate,white,1515,1379,Scandinavian Defense: Mieses-Kotroc Variation
Kx4jd1Oo,40,resign,black,1538,1501,Robatsch (Modern) Defense
5vg0pHEg,54,resign,black,1511,1516,Queen's Gambit Declined
5uNNVd3c,67,resign,black,1464,1495,Ruy Lopez: Exchange Variation |  Normal Variation
aGVLNoTY,21,mate,white,1470,1475,King's Pawn Game: Damiano Defense
W4eyc9dH,14,mate,black,1490,1440,Italian Game: Schilling-Kostic Gambit
l2My0J1h,71,resign,white,1611,1974,Queen's Gambit Declined: Semi-Tarrasch |  San Sebastian Variation
eRHQGmr2,72,outoftime,black,1611,1945,Nimzo-Indian Defense: Ragozin Variation
D45fTp2y,62,resign,black,1584,1611,English Opening: Symmetrical Variation |  Anti-Benoni Variation
lTOKfWMv,48,resign,black,1942,1611,Van't Kruijs Opening
sd7oPNum,6,outoftime,black,1217,1611,Four Knights Game
xLmd5oZZ,69,draw,draw,1611,2059,Semi-Slav Defense: Chigorin Defense
T3gAyyeH,72,resign,white,1611,1478,Sicilian Defense: Quinteros Variation
HDPjH5bD,40,mate,black,1486,1552,King's Pawn Game: Dresden Opening
cFSW3SMi,29,mate,white,1453,1496,Modern Defense
wsNnVC6Y,44,resign,white,1340,1326,English Defense #2
UxvU6EN4,59,mate,white,1532,1500,French Defense: Steinitz Attack
mjXUQnww,115,resign,white,1560,1557,King's Gambit Accepted |  Fischer Defense
lC84DiKq,70,resign,black,1571,1577,Bird Opening: Dutch Variation
A17jdHS8,36,resign,black,1580,1617,Bird Opening
t5ixT6HN,83,resign,white,1531,1593,Four Knights Game: Gunsberg Variation
8uZRNw8n,99,draw,draw,1449,1597,Four Knights Game: Ranken Variation
vwQzM7Sg,43,resign,white,1743,1604,King's Gambit Accepted |  Schallopp Defense
I4zyNfPo,89,resign,white,1604,1614,Four Knights Game: Spanish Variation |  Classical Variation
6eQ92lsE,96,resign,black,1550,1605,Queen's Pawn Game: Mason Attack
8BLA0IOl,116,mate,black,1630,1605,Petrov's Defense #5
pMcUNK5E,78,mate,black,1475,1605,Hungarian Opening
Kzq2t2lB,77,mate,white,1605,1475,Bird Opening
a0VRhASu,70,mate,black,1475,1605,King's Pawn Opening: 2.b3
5gymGRgt,27,resign,white,1570,1605,Russian Game: Cochrane Gambit
Vyrkyifp,102,resign,black,1605,1500,Bird Opening
exEzRx87,21,resign,white,1500,1605,Four Knights Game: Italian Variation |  Noa Gambit
i3YfxFdL,33,resign,white,1605,1500,Bird Opening
8ctKV1wh,74,resign,black,1513,1605,Russian Game: Urusov Gambit
jVXtr42v,65,resign,white,1790,1874,Polish Opening
ZXM2sX4y,81,resign,white,1864,1805,Sicilian Defense: Closed Variation |  Fianchetto Variation
UFKSc5hH,45,resign,black,1496,1861,Indian Game: Tartakower Attack
jhA7bDVC,52,resign,white,1851,1853,Ruy Lopez: Berlin Defense |  Rio Gambit Accepted
vc2eo2Sh,51,resign,white,1861,1863,Caro-Kann Defense
WgPBuJD6,48,draw,draw,1618,1609,French Defense: Knight Variation
WtFUCKgj,20,resign,black,1620,1607,Van't Kruijs Opening
EQDn1BA7,50,mate,black,1621,1496,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
AbDhfpnX,98,resign,black,1633,1581,Philidor Defense #3
Ger5Zno3,106,mate,black,1623,1623,Ruy Lopez: Cozio Defense
JHH8PcNq,19,resign,white,1612,1614,Italian Game
8Ie5Oesp,22,resign,white,1605,1624,Italian Game: Giuoco Pianissimo |  Normal
HN5jnzyI,114,draw,draw,1693,1621,Indian Game: West Indian Defense
GRAng26s,69,resign,black,1631,1684,Sicilian Defense
TaaLCuw6,34,mate,black,1636,1619,Italian Game: Classical Variation |  Closed Variation
R2JFua6L,40,mate,black,1613,1617,Italian Game: Two Knights Defense |  Traxler Counterattack
LcPvndOa,108,resign,black,1627,1495,Italian Game: Hungarian Defense
oWSctoZp,27,resign,white,1480,1643,Bishop's Opening
m793jf7F,63,resign,white,1631,1652,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
UaulsArt,31,resign,white,1687,1641,Ponziani Opening
EL3LK94E,71,resign,white,1630,1638,Italian Game: Anti-Fried Liver Defense
PcXdgcJJ,92,mate,black,1414,1624,Ruy Lopez: Cozio Defense
XGG3VNC9,47,mate,white,1619,1419,Italian Game: Two Knights Defense |  Knight Attack
n1hgevhj,56,resign,black,1629,1659,Petrov's Defense #2
q5P7mAB4,48,resign,white,1649,1639,Bishop's Opening
sl4N6t22,124,resign,black,1677,1627,Polish Opening
DhoFXYNH,49,mate,white,1705,1636,Scotch Game: Classical Variation
q6FmC8Id,64,resign,black,1647,1635,Sicilian Defense: Najdorf Variation
2CvZyh4h,29,resign,white,1637,1627,Italian Game: Classical Variation #2
Psin3ost,45,resign,white,1626,1631,Italian Game
AaSSYIy6,96,resign,black,1602,1615,King's Gambit Accepted |  Fischer Defense
0lWtXgXo,92,resign,black,1634,1603,Bishop's Opening
IC0EFtA5,40,mate,black,1611,1591,Italian Game: Giuoco Pianissimo |  Italian Four Knights Variation
L8gPU593,123,mate,white,1579,1623,Italian Game: Giuoco Piano |  Aitken Variation
0PVGpBvD,129,mate,white,1995,1581,King's Indian Attack: Symmetrical Defense
2icRDIZI,120,mate,black,1589,1569,Gruenfeld Defense: Three Knights Variation |  Hungarian Attack
ktRhE4Ky,71,draw,draw,1570,1555,Italian Game: Anti-Fried Liver Defense
5AYA7mBv,97,mate,white,1559,1557,French Defense: Knight Variation
qGThbTuM,60,resign,white,1546,1571,Indian Game
pLR3kRgy,57,resign,white,1550,1567,Sicilian Defense: Smith-Morra Gambit Declined |  Push Variation
EdKqO9z1,38,resign,white,1560,1419,Caro-Kann Defense: Advance Variation
sAjNrfSm,111,resign,white,1840,1564,Scotch Game: Haxo Gambit
BON8sFeZ,119,resign,black,1660,1549,East Indian Defense
PREaBSqk,33,mate,white,1534,1678,Philidor Defense
CmAh08GF,32,resign,white,1789,1538,Blumenfeld Countergambit #2
FpZiajAh,96,resign,black,1841,1921,Center Game: Berger Variation
uFREIMDF,92,draw,draw,1926,1737,Zukertort Opening: Queenside Fianchetto Variation
4Wozw7Zh,64,resign,black,1629,1887,Queen's Pawn Game #2
